index, number, factorization, distance from power of 2, reminder mod 4, is peak
0, 18, 2^1 * 3^2, 2, 2, 
1, 9, 3^2, 2, 1, 
2, 28, 2^2 * 7^1, 1, 0,  peak
3, 14, 2^1 * 7^1, 1, 2, 
4, 7, 7^1, 1, 3, 
5, 22, 2^1 * 11^1, 1, 2, 
6, 11, 11^1, 1, 3, 
7, 34, 2^1 * 17^1, 1, 2, 
8, 17, 17^1, 1, 1, 
9, 52, 2^2 * 13^1, 1, 0,  peak
10, 26, 2^1 * 13^1, 1, 2, 
11, 13, 13^1, 1, 1, 
12, 40, 2^3 * 5^1, 1, 0,  peak
13, 20, 2^2 * 5^1, 1, 0,  peak
14, 10, 2^1 * 5^1, 1, 2, 
15, 5, 5^1, 1, 1, 
16, 16, 2^4, 0, 0,  peak
17, 8, 2^3, 0, 0,  peak
18, 4, 2^2, 0, 0,  peak
19, 2, 2^1, 0, 2, 
20, 1, , 0, 1, 
