,MapFromOne,Mod6,color,distanceFromOne
1,[0],1,green,0
2,[1],2,,1
4,[2],4,,2
5,"[4, 0]",5,green,5
7,"[4, 3, 2, 1, 1, 0]",1,green,16
8,[3],2,,3
9,"[4, 3, 2, 1, 1, 2, 0]",3,green,19
10,"[4, 1]",4,,6
11,"[4, 3, 2, 1, 0]",5,green,14
13,"[4, 3, 0]",1,green,9
14,"[4, 3, 2, 1, 1, 1]",2,,17
15,"[4, 5, 1, 1, 1, 0]",3,green,17
16,[4],4,,4
17,"[4, 3, 2, 0]",5,green,12
18,"[4, 3, 2, 1, 1, 2, 1]",0,,20
19,"[4, 3, 2, 1, 3, 1, 0]",1,green,20
20,"[4, 2]",2,,7
22,"[4, 3, 2, 1, 1]",4,,15
23,"[4, 5, 1, 1, 0]",5,green,15
25,"[4, 3, 2, 1, 3, 1, 2, 0]",1,green,23
26,"[4, 3, 1]",2,,10
28,"[4, 3, 2, 1, 1, 2]",4,,18
29,"[4, 3, 2, 1, 3, 0]",5,green,18
30,"[4, 5, 1, 1, 1, 1]",0,,18
31,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 0]",1,green,106
32,[5],2,,5
33,"[4, 3, 2, 1, 3, 1, 2, 2, 0]",3,green,26
34,"[4, 3, 2, 1]",4,,13
35,"[4, 5, 1, 0]",5,green,13
36,"[4, 3, 2, 1, 1, 2, 2]",0,,21
37,"[4, 3, 2, 1, 1, 4, 0]",1,green,21
38,"[4, 3, 2, 1, 3, 1, 1]",2,,21
39,"[4, 3, 2, 1, 3, 1, 4, 1, 2, 1, 1, 0]",3,green,34
40,"[4, 3]",4,,8
44,"[4, 3, 2, 1, 2]",2,,16
46,"[4, 5, 1, 1, 1]",4,,16
47,"[4, 5, 1, 1, 3, 4, 2, 2, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 0]",5,green,104
50,"[4, 3, 2, 1, 3, 1, 2, 1]",2,,24
52,"[4, 3, 2]",4,,11
53,"[4, 5, 0]",5,green,11
