,MapFromOne,Mod6,color
1,[0],1,green
2,[1],2,
3,"[4, 1, 0]",3,green
4,[2],4,
5,"[4, 0]",5,green
6,"[4, 1, 1]",0,
7,"[4, 3, 2, 1, 1, 0]",1,green
8,[3],2,
9,"[4, 3, 2, 1, 1, 2, 0]",3,green
10,"[4, 1]",4,
11,"[4, 3, 2, 1, 0]",5,green
12,"[4, 1, 2]",0,
13,"[4, 3, 0]",1,green
14,"[4, 3, 2, 1, 1, 1]",2,
15,"[4, 5, 1, 1, 1, 0]",3,green
16,[4],4,
17,"[4, 3, 2, 0]",5,green
18,"[4, 3, 2, 1, 1, 2, 1]",0,
19,"[4, 3, 2, 1, 3, 1, 0]",1,green
20,"[4, 2]",2,
21,"[6, 0]",3,green
22,"[4, 3, 2, 1, 1]",4,
23,"[4, 5, 1, 1, 0]",5,green
24,"[4, 1, 3]",0,
25,"[4, 3, 2, 1, 3, 1, 2, 0]",1,green
26,"[4, 3, 1]",2,
28,"[4, 3, 2, 1, 1, 2]",4,
29,"[4, 3, 2, 1, 3, 0]",5,green
32,[5],2,
34,"[4, 3, 2, 1]",4,
35,"[4, 5, 1, 0]",5,green
38,"[4, 3, 2, 1, 3, 1, 1]",2,
40,"[4, 3]",4,
44,"[4, 3, 2, 1, 2]",2,
46,"[4, 5, 1, 1, 1]",4,
52,"[4, 3, 2]",4,
53,"[4, 5, 0]",5,green
58,"[4, 3, 2, 1, 3, 1]",4,
64,[6],4,
70,"[4, 5, 1, 1]",4,
76,"[4, 3, 2, 1, 3, 1, 2]",4,
80,"[4, 4]",2,
88,"[4, 3, 2, 1, 3]",4,
106,"[4, 5, 1]",4,
160,"[4, 5]",4,
